"species","IUCN_category","area_global","pa_count","pa_quality_mean","mhw_freq","mhw_total_days","mhw_max_int","mhw_mean_int","mhw_cum_int","slope_intensity","slope_freq","slope_cum","slope_max","slope_total","dem_mean","dem_range","order","adult_mass_g","brain_mass_g","trophic_level","det_diet_breadth_n","habitat_breadth_n","activity_cycle","foraging_stratum","fossoriality","hibernation_torpor","max_longevity_d","litter_size_n","litters_per_year_y","generation_length_d","density_n_km2","Exposure","IUCN_num","Trait_sensitivity","Sensitivity","Suitability","Risk_index","Risk_level"
"Rhinosciurus laticaudatus","NT",0.0108091855176666,1,0.506564742061936,0.614506297481415,0.556125744464333,0.564013675157212,0.112395714941994,0.136603439091182,0.458265396828137,0.452594854047191,0.305514888848285,0.357568471979138,0.453824248893456,0.0957156414260694,0.351984697829482,"Rodentia",6.95279885293601e-05,0.000850192542077432,0.5,0.25,0,3,"G",2,0,5054.5455499051,1.39,1.771615,1660.18425170542,9.56,0.401141273173234,0.25,0.150183944106121,0.200091972053061,0.393014853367031,0.0487197528839033,"High"
"Rhizomys pruinosus","LC",0.0279828668316453,0.875,0.580270293865261,0.725034908981275,0.735306328280311,0.5885610326697,0.23753650119207,0.274846028623458,0.468258716131553,0.271283499575793,0.343764794640193,0.380583457999292,0.343627101087921,0.181336273034358,0.714615195677251,"Rodentia",0.000760320293716435,0.00196817844553237,0,0.5,0,1,"G",1,0,2187.57579169867,3,1.79463,1254.05824159919,955.038694869452,0.436880236918157,0,0.10054569974785,0.0502728498739249,0.475840925881703,0.0115122182102506,"Very low"
"Rhizomys sinensis","LC",0.0244010196549951,0.75,0.919226591394293,0.736641086891026,0.716305212064625,0.557576821720779,0.28257871131721,0.30155173401478,0.579251378956549,0.245234918953531,0.402694623622351,0.44788571838922,0.351542971879192,0.215423912864638,0.623533465617353,"Rodentia",2.50698895570511e-05,0.000330774713978553,0,0.5,0.142857142857143,1,"G",1,0,1245.95183332177,3,1.853915,782.484046466919,1484.52931923573,0.462126317780926,0,0.128642597492136,0.0643212987460678,0.506516997906256,0.0146685675446966,"Very low"
"Rhizomys sumatrensis","LC",0.0162777059027011,1,0.547784841243853,0.663066926203366,0.696116284661043,0.597857298976483,0.177384883818171,0.229257026633981,0.434136307019791,0.321974590735775,0.306092890057524,0.36065258264718,0.365142099606428,0.133648552706657,0.351984697829482,"Rodentia",0.000853488046793119,0.00215225628127149,0,0.5,0,1,"G",1,0,1274.458333455,4,1.8326,1239.10805991652,1149.49333255646,0.415168089035974,0,0.100601148865613,0.0503005744328065,0.409939159536539,0.0123223546283241,"Very low"
"Rhombomys opimus","LC",0.0544146906394926,1,0.789212616964004,0.745608525392683,0.766812015167659,0.683743291512012,0.444706025663517,0.453269366349444,0.60962855848762,0.213996953203787,0.560969150696801,0.501575049670446,0.37675949101445,0.212988570262267,0.669680460958935,"Rodentia",6.59099741182156e-05,0.000465723081725212,0,0,0.142857142857143,2,"G",1,0,1642.5,5,2.5,562.5317,2378.07597321163,0.535706842715842,0,0.0286777551825973,0.0143388775912986,0.54525926776494,0.00349306130490505,"Very low"
"Rhynchomeles prattorum","EN",2.70987264137746e-06,0,0.285714285714286,0.709422012267269,0.58174271232465,0.348226543643472,0.0918852660301377,0.115085624115302,NA,0.348904721410869,0.27633461624714,NA,0.401254087631421,0.30380805003346,0.0259271282366973,"Peramelemorphia",0.000186497183260874,0.00101106052509251,0.5,0.25,0,1,"G",1,0,1575.84643749179,2.39153333333334,1.74132,833.077939989728,370.680034056297,0.359106947958783,0.75,0.150239511541671,0.450119755770835,0.123090434771417,0.141744654531589,"Very high"
"Rhynchomys banahao","LC",7.00413755683978e-07,0,0.714285714285714,0.666666669561165,0.595020741490035,0.483984185179143,0.0850728967095382,0.102882748101782,0.385522857758182,0.474309978504243,0.287182872487969,0.239544576813919,0.49753812520565,0.157525280354892,0.0169350259377659,"Rodentia",4.7586982679801e-05,0.000439554147545533,1,0,0,1,"G",1,0,1413.71799997773,2.09077333333334,1.94142,795.368953917498,682.296751631468,0.381772565181163,0,0.200097428226045,0.100048714113023,0.177749344198426,0.0314065661895233,"Medium"
"Rhynchomys isarogensis","VU",5.16102420349749e-07,0.25,0.34402332361516,0.682818679426275,0.624177034822825,0.527864875797264,0.0663665937940128,0.107645982266003,NA,0.357148234148085,0.282530254503127,NA,0.438101087619878,0.113674147125161,0.0362287687923117,"Rodentia",3.74285920026733e-05,0.000391724496198812,1,0,0,1,"G",1,0,1348.13966664063,2.22523000000001,2.04202,762.691396383924,332.33,0.385831592797184,0.5,0.20008583061764,0.35004291530882,0.148785351127011,0.114963020807356,"Very high"
"Rhynchomys soricoides","NT",4.99647892228743e-05,0.25,0.423887587822014,0.647576316745053,0.575856760298966,0.383424362357925,0.0966711193091692,0.116554888536432,0.356017732629351,0.249811763203746,0.211976472808234,0.209039316564639,0.275261981780329,0.318199864465055,0.106994697520038,"Rodentia",7.22919652039685e-05,0.000592975396275949,1,0,0,1,"G",1,0,1423.15629164464,1.90066333333334,2.00988,808.552538445467,969.113991417762,0.312219071423384,0.25,0.200133053472296,0.225066526736148,0.219826422919266,0.0548228456213388,"High"
"Rhynchomys tapulao","DD",6.98780511580975e-07,0,NA,0.639746653119314,0.774550455425933,0.458353609236813,0.134565793174833,0.220055189983955,NA,0.332253498082759,0.379625349844396,NA,0.5038770443467,0.252011530848575,0,"Rodentia",4.54130684413451e-05,0.000429928289838957,1,0,0,1,"G",1,0,1419.612749977,2.11544333333335,1.949248767967,792.278084434185,670.2344941677,0.430378449151838,NA,0.200095068271656,0.200095068271656,0.0630030574072715,0.0806909957467134,"High"
